Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Patrick Cutrone,Como,10,ITA,FW,26-255,77,1,0,0,0,3,1,0,0,22,0,0,1,0.3,0.3,0.0,2,0,10,15,"66,7",1,13,4,1,0,2024-09-14
Andrea Belotti,Como,11,ITA,FW,30-269,13,0,0,0,0,2,0,0,0,11,0,0,0,0.4,0.4,0.0,1,0,5,8,"62,5",2,4,0,0,0,2024-09-14
Alieu Fadera,Como,16,GAM,LW,22-316,77,0,0,0,0,1,0,0,0,32,4,0,2,0.0,0.0,0.0,2,0,15,22,"68,2",1,22,5,2,1,2024-09-14
Lucas Da Cunha,Como,33,FRA,LW,23-097,13,0,0,0,0,0,0,0,0,13,2,0,1,0.0,0.0,0.1,2,0,8,10,"80,0",0,5,2,0,0,2024-09-14
Gabriel Strefezza,Como,7,BRA,RW,27-149,87,0,1,0,0,1,0,0,0,33,1,1,1,0.1,0.1,0.3,5,1,17,24,"70,8",7,22,3,4,2,2024-09-14
Matthias Braunöder,Como,27,AUT,RW,22-171,3,0,0,0,0,0,0,0,0,5,2,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,2,0,2,1,2024-09-14
Nicolás Paz,Como,79,ARG,AM,20-006,90,0,0,0,0,3,0,0,0,45,2,1,4,0.1,0.1,0.4,8,1,24,28,"85,7",5,26,5,6,3,2024-09-14
Sergi Roberto,Como,20,ESP,DM,32-220,87,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.1,1,0,29,32,"90,6",2,14,0,1,0,2024-09-14
Luca Mazzitelli,Como,36,ITA,DM,28-304,3,0,0,0,0,0,0,0,0,10,1,1,1,0.0,0.0,0.0,1,0,3,5,"60,0",0,4,0,2,1,2024-09-14
Máximo Perrone,Como,23,ARG,DM,21-251,90,0,0,0,0,0,0,0,0,49,4,1,2,0.0,0.0,0.0,1,0,35,41,"85,4",1,15,0,0,0,2024-09-14
Alberto Moreno,Como,18,ESP,LB,32-071,90,0,0,0,0,1,1,1,0,47,1,0,1,0.1,0.1,0.0,1,0,32,40,"80,0",3,14,0,0,0,2024-09-14
Marc-Oliver Kempf,Como,2,GER,CB,29-230,90,0,0,0,0,0,0,0,0,66,1,1,1,0.0,0.0,0.1,1,0,47,57,"82,5",1,24,0,0,0,2024-09-14
Alberto Dossena,Como,13,ITA,CB,25-337,66,0,0,0,0,3,2,0,0,41,1,0,0,0.1,0.1,0.0,1,0,28,34,"82,4",1,25,0,1,1,2024-09-14
Edoardo Goldaniga,Como,5,ITA,CB,30-317,24,0,0,0,0,0,0,0,0,17,2,2,1,0.0,0.0,0.0,0,0,12,14,"85,7",1,7,0,0,0,2024-09-14
Alessio Iovine,Como,6,ITA,RB,33-226,90,0,0,0,0,0,0,1,0,45,1,0,1,0.0,0.0,0.0,1,0,30,38,"78,9",1,14,0,0,0,2024-09-14
Emil Audero,Como,1,ITA,GK,27-240,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,30,40,"75,0",0,31,0,0,0,2024-09-14
Thijs Dallinga,Bologna,24,NED,FW,24-042,62,0,0,0,0,1,0,0,0,19,1,0,0,0.1,0.1,0.0,0,0,10,13,"76,9",0,11,0,0,0,2024-09-14
Santiago Castro,Bologna,9,ARG,FW,19-351,28,1,1,0,0,1,1,0,0,9,0,0,0,0.3,0.3,0.0,4,2,6,6,"100,0",1,7,0,2,1,2024-09-14
